id,epoch,style_id,century,style,type_id,type,name,description,author
373,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,El infante Don Carlos,1626-1628. Oleo sobre lienzo. 209 x 125 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
374,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,El infante Felipe Próspero,"1659. Óleo sobre lienzo. 128,5 x 99,5 cm. Kunsthistorisches Museum. Viena. Austria.",Diego Rodríguez de Silva y Velázquez
375,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Infanta Margarita,1656. Óleo sobre lienzo. 105 x 88 cm. Kunsthistorisches Museum. Viena. Austria.,Diego Rodríguez de Silva y Velázquez
376,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Infanta Margarita,1659. Óleo sobre lienzo. 127 x 107 cm. Kunsthistorisches Museum. Viena. Austria.,Diego Rodríguez de Silva y Velázquez
377,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,La Infanta Maria Teresa,"1652-1653. Oleo sobre lienzo. 127 x 98,5 cm. Kunsthistorisches Museum. Viena. Austria.",Diego Rodríguez de Silva y Velázquez
378,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Inocencio X,1649-1650. Oleo sobre lienzo. 140 x 120 cm. Galería Doria-Pamphili. Roma. Italia.,Diego Rodríguez de Silva y Velázquez
379,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Juan de Pareja,"1649-1650. Óleo sobre lienzo. 81,3 x 69,9 cm. The Metropolitan Museum of Art. New York. USA.",Diego Rodríguez de Silva y Velázquez
380,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Juan Martínez Montañés,1635-1636. Oleo sobre lienzo. 109 x 107 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
381,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Las Meninas,"También conocida como""La familia de Felipe IV"""". 1656. Óleo sobre lienzo. 318 x 276 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
382,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,La Reina Doña Mariana de Austria,1652. Oleo sobre lienzo. 231 x 131 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
383,30.10 - Siglos XVI y XVII. Barroco 17.10.30 - Escuela española. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.10.30,Escuela española. Mitología y Alegorías,Marte,1640. Oleo sobre lienzo. 179 x 95 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
384,30.10 - Siglos XVI y XVII. Barroco 17.10.30 - Escuela española. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.10.30,Escuela española. Mitología y Alegorías,Mercurio y Argos,1659. Óleo sobre lienzo. 127 x 248 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
385,30.10 - Siglos XVI y XVII. Barroco 17.10.60 - Escuela española. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.10.60,Escuela española. Costumbres e Historia,Vieja friendo huevos,"1618. Óleo sobre lienzo. 100,5 x 119,5 cm. The National Gallery. Edimburgo. Escocia.",Diego Rodríguez de Silva y Velázquez
387,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Felipe IV,1623-1624. Óleo sobre lienzo. 201 x 102 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
388,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,"Felipe IV, cazador",1634-1635. Óleo sobre lienzo. 191 x 216 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
389,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Felipe IV en Fraga,"1644. Óleo sobre lienzo. 129,8 x 99,4 cm. Colección Frick. New York. USA.",Diego Rodríguez de Silva y Velázquez
390,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Felipe IV,"1631-1632. Óleo sobre lienzo. 199,5 x 113 cm. The National Gallery. Londres. Inglaterra.",Diego Rodríguez de Silva y Velázquez
391,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,El bufon Don Sebastián de Morra,1643-1644. Óleo sobre lienzo. 106 x 81 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
392,30.10 - Siglos XVI y XVII. Barroco 17.10.60 - Escuela española. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.10.60,Escuela española. Costumbres e Historia,Las lanzas,"También conocido como""La Rendición de Breda"""". 1634-1635. Óleo sobre lienzo. 307 x 367 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
393,30.10 - Siglos XVI y XVII. Barroco 17.10.30 - Escuela española. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.10.30,Escuela española. Mitología y Alegorías,La Venus del Espejo,"1648-1649. Óleo sobre lienzo. 122,5 x 177 cm. The National Gallery. Londres. Inglaterra.",Diego Rodríguez de Silva y Velázquez
394,30.10 - Siglos XVI y XVII. Barroco 17.10.60 - Escuela española. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.10.60,Escuela española. Costumbres e Historia,Dos hombres en la mesa,"1620-1621. Óleo sobre lienzo. 65,3 x 104 cm. Museo Wellington. Londres. Inglaterra.",Diego Rodríguez de Silva y Velázquez
395,30.10 - Siglos XVI y XVII. Barroco 17.10.40 - Escuela española. Paisajes y Vistas,30.1,Siglos XVI y XVII,Barroco,17.10.40,Escuela española. Paisajes y Vistas,Vista del jardín de la villa Medicea,"También conocida como:""El Mediodía"""". 1630. Oleo sobre lienzo. 44 x 38 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
397,30.10 - Siglos XVI y XVII. Barroco 17.10.60 - Escuela española. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.10.60,Escuela española. Costumbres e Historia,El aguador de Sevilla,1620. Óleo sobre lienzo. 106 x 82 cm. Museo Wellington. Londres. Inglaterra.,Diego Rodríguez de Silva y Velázquez
398,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Adoración de los Magos,1638-1640. Óleo sobre lienzo. 264 x 176 cm. Museo de Pintura y Escultura de Grenoble. Grenoble. Francia.,Francisco de Zurbarán
399,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Adoración de los Pastores,1638. Óleo sobre lienzo. 267 x 185 cm. Museo de Pintura y Escultura de Grenoble. Grenoble. Francia.,Francisco de Zurbarán
400,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Anunciación,1650. Óleo sobre lienzo. 213 x 314 cm. Colección de W.P. Wilstach. Museo de Arte de Filadelfia. Filadelfia. USA.,Francisco de Zurbarán
401,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Bendición de Enrique Suso,1631-1640. Óleo sobre lienzo. 209 x 154 cm. Museo de Bellas Artes de Sevilla. Sevilla. España.,Francisco de Zurbarán
402,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Sagrada Familia,1650-1660. Óleo sobre lienzo. 136 x 128 cm. Colección del Marqués de Perinat.,Francisco de Zurbarán
403,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Andrés,"1635-1640. Óleo sobre lienzo. 146,7 x 61 cm. Museo de Bellas Artes de Budapest. Budapest. Hungría.",Francisco de Zurbarán
404,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Santa Apolonia,1635-1640. Óleo sobre lienzo. 134 x 67 cm. Museo del Louvre. París. Francia.,Francisco de Zurbarán
405,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Francisco de Asís en oración,1639. Óleo sobre lienzo. 152 x 99 cm. The National Gallery. Londres. Inglaterra.,Francisco de Zurbarán
406,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Francisco arrodillado con una calavera,1659. Óleo sobre lienzo. 127 x 97 cm. Colección de Plácido Arango. Madrid. España.,Francisco de Zurbarán
407,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Francisco,1650-1660. Óleo sobre lienzo. 209 x 110 cm. Museo de Bellas Artes de Lyon. Lyon. Francia.,Francisco de Zurbarán
408,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Francisco,1634. Óleo sobre lienzo. Museo de Arte de la ciudad.,Francisco de Zurbarán
409,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Hugo en el refectorio de los Cartujos,1645-1655. Óleo sobre lienzo. 268 x 318 cm. Museo de Bellas Artes de Sevilla. Sevilla. España.,Francisco de Zurbarán
410,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Aparición del apóstol San Pedro a San Pedro Nolasco,"1629. Firmado y Fechado. Óleo sobre lienzo. 1,79 x 2,23 mts. Museo del Prado. Madrid. España.",Francisco de Zurbarán
412,30.10 - Siglos XVI y XVII. Barroco 17.10.50 - Escuela española. Bodegones y Flores,30.1,Siglos XVI y XVII,Barroco,17.10.50,Escuela española. Bodegones y Flores,Bodegón,1635-1640. Óleo sobre lienzo. 46 x 84 cm. Museo del Prado. Madrid. España.,Francisco de Zurbarán
413,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Cena de Emaús,1639. Óleo sobre lienzo. 228 x 154 cm. Museo de San Carlos. Mexico City.,Francisco de Zurbarán
414,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Virgen de la Inmaculada Concepción,1635-1637. Óleo sobre lienzo. 183 x 107 cm. Iglesia de San Juan Bautista. Marchena. España.,Francisco de Zurbarán
416,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Adoración de los Magos,1660-1665. 190 x 146 cm. The Toledo Museum of Art. Toledo. Ohio. USA.,Bartolomé Esteban Murillo
417,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,El Bautismo de Cristo,1655. Óleo sobre lienzo. 233 x 160 cm. Gemäldegalerie. Berlín. Alemania.,Bartolomé Esteban Murillo
418,30.10 - Siglos XVI y XVII. Barroco 17.10.60 - Escuela española. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.10.60,Escuela española. Costumbres e Historia,Niños jugando a los dados,"1670-1675. Óleo sobre lienzo. 146 x 108,5 cm. Alte Pinakothek. Munich. Alemania.",Bartolomé Esteban Murillo
419,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La huída a Egipto,1648. Óleo sobre lienzo. 207 x 162 cm. Instituto de Arte e Imagen de Detroit. Michigan. USA.,Bartolomé Esteban Murillo
420,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,El buen pastor,"También conocida como""El niño Jesús, Divino Pastor""""1660-1665. Óleo sobre lienzo. 123 x 101 cm. Museo del Prado. Madrid. España.",Bartolomé Esteban Murillo
421,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Inmaculada Concepción,1650. 436 x 292 cm. Museo de Bellas Artes de Sevilla. Sevilla. España.,Bartolomé Esteban Murillo
422,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Inmaculada Concepción del Escorial,"También conocida como""La Virgen entre nubes acompañada de Ángeles"""". 1660-1665. 206 x 144 cm. Óleo sobre lienzo. Museo del Prado. Madrid. España.",Bartolomé Esteban Murillo
423,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Inmaculada Concepción de los Venerables,"También conocida como""La Inmaculada de Soult"""". 1679. Óleo sobre lienzo. 274 x 190 cm. Museo del Prado. Madrid. España.",Bartolomé Esteban Murillo
424,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Magdalena Penitente,1654. 152 x 104 cm. Galeria Nacional. Dublin. Irlanda.,Bartolomé Esteban Murillo
425,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Presentación de la Virgen en el Templo,1680. Óleo sobre lienzo. 155 x 208 cm. Colección Privada.,Bartolomé Esteban Murillo
427,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,El regreso del hijo pródigo,1668. Óleo sobre lienzo. 236 x 262 cm. The National Gallery of Art. Washington. USA.,Bartolomé Esteban Murillo
428,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Diego dando comida a los Pobres,1645. Óleo sobre lienzo. 173 x 183 cm. Convento de San Francisco de Sevilla. Sevilla. España.,Bartolomé Esteban Murillo
429,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Isidoro,1655. 193 x 165 cm. Catedral de Sevilla. Sevilla. España.,Bartolomé Esteban Murillo
430,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,San Juan Bautista señalando a Cristo,1655. 269 x 183 cm. Instituto de Arte de Chicago. Chicago. USA.,Bartolomé Esteban Murillo
432,30.10 - Siglos XVI y XVII. Barroco 17.10.60 - Escuela española. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.10.60,Escuela española. Costumbres e Historia,Tres muchachos,1670. 168 x 110 cm. Galería de Pintura Dulwich. Londres. Inglaterra.,Bartolomé Esteban Murillo
433,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Virgen con niño,1650-1655. Óleo sobre lienzo. 155 x 107 cm. Galería Palatina. Palazzo Pitti. Florencia. Italia.,Bartolomé Esteban Murillo
434,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La Virgen presentando el rosario a Santo Domingo,1638-1640. Óleo sobre lienzo. 207 x 162 cm. Palacio Arzobispal de Sevilla. Sevilla. España.,Bartolomé Esteban Murillo
686,30.10 - Siglos XVI y XVII. Barroco 17.40.50 - Escuela holandesa. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.40.50,Escuela holandesa. Costumbres e Historia,La copa de vino,"También conocido como:""""Caballero y nuchacha bebiendo"""". 1959. Óleo sobre lienzo. 65 x 77 cm. Berlin. Staatliche Museen zu Berlin. Preussischer Kulturbesitz, Gemäldegalerie.",Jan Vermeer de Delft
688,30.10 - Siglos XVI y XVII. Barroco 17.40.50 - Escuela holandesa. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.40.50,Escuela holandesa. Costumbres e Historia,La carta de amor,"1669-70. Óleo sobre tela. 44 x 38,5 cm. Rijksmuseum. Amsterdam. Holanda.",Jan Vermeer de Delft
698,30.10 - Siglos XVI y XVII. Barroco 17.10.30 - Escuela española. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.10.30,Escuela española. Mitología y Alegorías,La Fragua de Vulcano,1630. Óleo sobre lienzo. 223 x 290 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
699,30.10 - Siglos XVI y XVII. Barroco 17.10.30 - Escuela española. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.10.30,Escuela española. Mitología y Alegorías,Los Borrachos,"También conocido como:""El Triunfo de Baco"""".1628-1629. Óleo sobre lienzo. 165,5 x 225 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
700,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La túnica de José,1630. Óleo sobre lienzo. 233 x 250 cm. Real Monasterio de San Lorenzo de El Escorial. El Escorial. Madrid. España.,Diego Rodríguez de Silva y Velázquez
703,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,La costurera,1640. Óleo sobre lienzo. 74 x 60 cm. The National Gallery of Art. Washington. USA.,Diego Rodríguez de Silva y Velázquez
706,30.10 - Siglos XVI y XVII. Barroco 17.40.10 - Escuela holandesa. Retratos,30.1,Siglos XVI y XVII,Barroco,17.40.10,Escuela holandesa. Retratos,La lección de anatomía del doctor Tulp,"1632. Óleo sobre lienzo. 169,5 x 216,5 cm. Museo Mauritshuis. La Haya. Holanda.",Harmennsz van Rijn Rembrandt
709,30.10 - Siglos XVI y XVII. Barroco 17.40.20 - Escuela holandesa. Religión,30.1,Siglos XVI y XVII,Barroco,17.40.20,Escuela holandesa. Religión,Circuncisión,"1661. Óleo sobre lienzo. 56,5 x 75 cm. The National Gallery of Art. Washington. USA.",Harmennsz van Rijn Rembrandt
741,30.10 - Siglos XVI y XVII. Barroco 17.60.10 - Escuela Italiana. Retratos,30.1,Siglos XVI y XVII,Barroco,17.60.10,Escuela Italiana. Retratos,Buenaventura,1596-1597. Óleo sobre lienzo. 99 x 131 cm. Museo del Louvre. París. Francia.,Michelangelo Merisi da Caravaggio
748,30.10 - Siglos XVI y XVII. Barroco 17.20.30 - Escuela flamenca. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.20.30,Escuela flamenca. Mitología y Alegorías,La batalla de las amazonas,1618. Óleo sobre tabla. Alte Pinakothek. Munich. Alemania.,Pedro Pablo Rubens
749,30.10 - Siglos XVI y XVII. Barroco 17.20.30 - Escuela flamenca. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.20.30,Escuela flamenca. Mitología y Alegorías,La Apoteosis de Enrique IV y la proclamación de la regencia de María de Médicis,""""" Descripción:""La Apoteosis de Enrique IV y la proclamación de la regencia de María de Médicis el 14 de Mayo de 1610"""". 1622-1624. Óleo sobre tabla. 394 x 727 cm. Museo del Louvre. París. Francia.",Pedro Pablo Rubens
752,30.10 - Siglos XVI y XVII. Barroco 17.20.30 - Escuela flamenca. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.20.30,Escuela flamenca. Mitología y Alegorías,La caída de Fetón,1637-1638.,Pedro Pablo Rubens
753,30.10 - Siglos XVI y XVII. Barroco 17.20.10 - Escuela flamenca. Retratos,30.1,Siglos XVI y XVII,Barroco,17.20.10,Escuela flamenca. Retratos,Deborah Kip con sus hijos,1629-1640. The National Gallery of Art. Washington. USA.,Pedro Pablo Rubens
756,30.10 - Siglos XVI y XVII. Barroco 17.20.60 - Escuela flamenca. Costumbres e Interiores,30.1,Siglos XVI y XVII,Barroco,17.20.60,Escuela flamenca. Costumbres e Interiores,The Village Wedding,1635-1638. Óleo sobre tabla. 149 x 261 cm. Museo del Louvre. París. Francia.,Pedro Pablo Rubens
1297,30.10 - Siglos XVI y XVII. Barroco 17.60.30 - Escuela Italiana. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.60.30,Escuela Italiana. Mitología y Alegorías,Baco,1596/7. Óleo sobre lienzo. 95 x 85 cm. Galería de los Uffizi. Florencia. Italia.,Michelangelo Merisi da Caravaggio
1298,30.10 - Siglos XVI y XVII. Barroco 17.60.20 - Escuela Italiana. Religión,30.1,Siglos XVI y XVII,Barroco,17.60.20,Escuela Italiana. Religión,Vocación de San Mateo,1599-1600. Óleo sobre lienzo. 322 x 340 cm. Iglesia de San Luis de los Franceses. Roma. Italia.,Michelangelo Merisi da Caravaggio
1302,30.10 - Siglos XVI y XVII. Barroco 17.60.20 - Escuela Italiana. Religión,30.1,Siglos XVI y XVII,Barroco,17.60.20,Escuela Italiana. Religión,San Mateo y el ángel,1602. Óleo sobre lienzo. 295 x 195 cm. Iglesia de San Luis de los Franceses. Roma. Italia.,Michelangelo Merisi da Caravaggio
1581,30.10 - Siglos XVI y XVII. Barroco 17.40.50 - Escuela holandesa. Costumbres e Historia,30.1,Siglos XVI y XVII,Barroco,17.40.50,Escuela holandesa. Costumbres e Historia,Musical Party in a Courtyard,"1677. Óleo sobre lienzo. 83,5 x 68,5 cm. The National Gallery. Londres. Inglaterra.",Pieter Hendricksz de Hooch
1588,30.10 - Siglos XVI y XVII. Barroco 17.30.20 - Escuela francesa. Religión,30.1,Siglos XVI y XVII,Barroco,17.30.20,Escuela francesa. Religión,The Dream of St Joseph,1640. Óleo sobre lienzo. Museo de Bellas Artes de Nantes. Nantes. Francia.,Georges de la Tour
1884,30.10 - Siglos XVI y XVII. Barroco 17.40.10 - Escuela holandesa. Retratos,30.1,Siglos XVI y XVII,Barroco,17.40.10,Escuela holandesa. Retratos,Pieter van den Broecke,"1633. Óleo sobre lienzo. 71,2 x 61 cm. Kenwood House. Londres. Inglaterra.",Frans Hals
